"['A.C.O.D.']","0.204188","0.376087","0.104131","0.084136","0.259737","0.0","0.0","0.021","0.845","0.384","0.269","0.01","0.639"
"['Admission']","0.183611","0.221298","0.130318","0.38267","0.281241","0.0","0.0","0.0","0.844","0.788","0.034","0.038","0.384"
"['After Earth']","0.080908","0.570292","0.234197","0.115822","0.066883","0.0","0.0","0.0","0.7","0.866","0.183","0.19","0.212"
"['Aftershock']","0.475345","0.056816","0.81079","0.021432","0.333702","0.0","0.0","0.847","0.256","0.088","0.314","0.199","0.94"
"[""Ain't Them Bodies Saints""]","0.090423","0.243995","0.125913","0.68694","0.138981","0.0","0.622","0.0","0.445","0.416","0.716","0.219","0.641"
"['All Is Lost']","0.517697","0.507892","0.12555","0.029354","0.039417","0.0","0.791","0.0","0.018","0.008","0.972","0.614","0.952"
"['Alone yet Not Alone']","0.89822","0.034951","0.525151","0.029924","0.347673","0.0","0.0","0.41","0.062","0.01","0.652","0.269","0.987"
"['American Hustle']","0.175183","0.325996","0.120742","0.136751","0.391778","0.0","0.0","0.091","0.813","0.541","0.158","0.048","0.573"
"['Anchorman 2: The Legend Continues']","0.116254","0.341165","0.286377","0.336303","0.187006","0.0","0.0","0.0","0.658","0.897","0.122","0.243","0.239"
"['Anchorman: The Legend of Ron Burgundy']","0.114051","0.322695","0.280851","0.327258","0.34059","0.0","0.0","0.0","0.919","0.553","0.238","0.111","0.39"
"['Angels Sing']","0.050441","0.003555","0.026129","0.987196","0.00886","0.0","0.854","0.0","0.631","0.867","0.98","0.941","0.02"
"['Apocalypse Earth']","0.420818","0.259977","0.549701","0.026476","0.431124","0.0","0.0","0.772","0.332","0.01","0.757","0.091","0.965"
"['At Any Price']","0.224735","0.166857","0.556471","0.096268","0.070255","0.0","0.0","0.96","0.854","0.876","0.201","0.149","0.326"
"['Artifact']","0.427011","0.129919","0.498329","0.054867","0.238939","0.0","0.0","0.777","0.727","0.29","0.345","0.131","0.825"
